"Emergency Temporary Shelter","Period Start","Period End","Food","Medical","Policy","Resident","Security Issue","Shelter Staff","Supplies / Donations","Vendor","Work Authorization","Facility","Benefits","Other","Unknown / Pending","Total","Record ID"
"West Lake","11/04/2024","11/17/2024",,,,,,"2",,,,,,,,"2","West_Lake_2024-11-17"
"YWLA","11/04/2024","11/17/2024",,,,,,,,,,,,,,"0","YWLA_2024-11-17"
"AIC","11/18/2024","12/01/2024","1",,"1",,,"1",,,,,,,,"3","AIC_2024-12-01"
"Elston Shelter","11/18/2024","12/01/2024",,,,,,"1",,,,,,,,"1","Elston_Shelter_2024-12-01"
"Midway Shelter","11/18/2024","12/01/2024",,,,,,"1",,,,,,,,"1","Midway_Shelter_2024-12-01"
"MWRD","11/18/2024","12/01/2024","1",,,,,"1",,,,,,,,"2","MWRD_2024-12-01"
"South DuSable","11/18/2024","12/01/2024",,,,,,"1",,,,,,,,"1","South_DuSable_2024-12-01"
"Walnut Shelter","11/18/2024","12/01/2024",,,,"2",,,,,,,,,,"2","Walnut_Shelter_2024-12-01"
"West Lake","11/18/2024","12/01/2024",,,,,,,,,,"1",,,,"1","West_Lake_2024-12-01"
"AIC","12/02/2024","12/15/2024","3",,,,,,"1",,,,,,,"4","AIC_2024-12-15"
"Midway Shelter","12/02/2024","12/15/2024",,,,,,"1",,,,,,,,"1","Midway_Shelter_2024-12-15"
"MWRD","12/02/2024","12/15/2024","1",,,,,"1",,,,,,,,"2","MWRD_2024-12-15"
"South DuSable","12/02/2024","12/15/2024",,,,,,"1",,,,,,,"2","3","South_DuSable_2024-12-15"
"AIC","12/16/2024","12/29/2024",,"1",,,,"1",,,,,,"1",,"3","AIC_2024-12-29"
"Elston Shelter","12/16/2024","12/29/2024",,,,,,"2",,,,,,,,"2","Elston_Shelter_2024-12-29"
"MWRD","12/16/2024","12/29/2024",,,,,,"1",,,,,,"1",,"2","MWRD_2024-12-29"
"MWRD","12/30/2024","12/31/2024",,,,,"1","1",,,,,,,,"2","MWRD_2024-12-31"
